,0,1,2,3,4,5,6,7,8,9
93,UNS:0.038719,UNS:0.040422,UNS:0.039246,-1.0,UNS:0.044573,UNS:0.040752,UNS:0.038756,UNS:0.039078,UNS:0.047632,UNS:0.034996
94,UNS:0.032183,-1.0,UNS:0.039049,UNS:0.04519,UNS:0.10051,UNS:0.041525,UNS:0.053186,UNS:0.054685,UNS:0.059823,UNS:0.041515
95,UNS:0.040264,UNS:0.044717,UNS:0.052187,UNS:0.039763,-1.0,UNS:0.03973,UNS:0.042095,UNS:0.107575,SAT:0.822238,-1.0
96,UNS:0.039646,-1.0,UNS:0.038919,UNS:0.086248,UNS:0.039967,UNS:0.040312,UNS:0.040909,UNS:0.039691,UNS:0.045254,UNS:0.044158
97,UNS:0.114588,UNS:0.101912,UNS:0.109744,UNS:0.099569,UNS:0.046414,UNS:0.083859,UNS:0.039652,-1.0,SAT:0.540006,-1.0
98,UNS:0.038195,UNS:0.039418,UNS:0.039218,UNS:0.072351,UNS:0.068608,UNS:0.043096,-1.0,UNS:0.039577,UNS:0.039258,UNS:0.039001
99,UNS:0.046306,UNS:0.042211,UNS:0.039644,UNS:0.04284,UNS:0.062404,UNS:0.039085,UNS:0.039465,UNS:0.038766,UNS:0.040762,-1.0
100,UNS:0.085565,UNS:0.04046,UNS:0.041751,UNS:0.042343,UNS:0.106916,UNS:0.045046,-1.0,UNS:0.038868,UNS:0.047809,UNS:0.039173
101,-1.0,UNS:0.045884,UNS:0.040474,UNS:0.039083,UNS:0.039205,UNS:0.039019,UNS:0.038819,UNS:0.040493,UNS:0.039414,UNS:0.044197
102,UNS:0.038963,UNS:0.044669,UNS:0.050967,UNS:0.040813,UNS:0.0453,-1.0,UNS:0.039184,UNS:0.039315,UNS:0.072613,UNS:0.03825
103,UNS:0.100893,UNS:0.051466,UNS:0.042248,UNS:0.0385,-1.0,UNS:0.039709,UNS:0.040756,UNS:0.05738,UNS:0.040293,UNS:0.041294
104,UNS:0.039744,UNS:0.040152,UNS:0.06644,UNS:0.039482,UNS:0.039236,SAT:0.797251,-1.0,-1.0,-1.0,-1.0
105,UNS:0.040535,UNS:0.039744,UNS:0.040254,UNS:0.03937,UNS:0.040225,UNS:0.056073,UNS:0.047302,UNS:0.038995,UNS:0.039957,-1.0
106,UNS:0.039457,UNS:0.038868,-1.0,UNS:0.038854,UNS:0.039027,UNS:0.039172,UNS:0.038766,UNS:0.039021,UNS:0.04011,UNS:0.040937
