,0,1,2,3,4,5,6,7,8,9
25,-1.0,UNS:0.046626,UNS:0.08703,UNS:0.050086,UNS:0.049637,UNS:0.046028,UNS:0.047652,UNS:0.052448,UNS:0.047217,UNS:0.138628
26,UNS:0.049075,UNS:0.048501,UNS:0.045077,UNS:0.04568,UNS:0.047463,UNS:0.04811,UNS:0.048622,-1.0,UNS:0.047084,UNS:0.085758
27,UNS:0.045656,UNS:0.049515,UNS:0.045814,UNS:0.049037,-1.0,UNS:0.051569,UNS:0.046546,UNS:0.0516,UNS:0.109549,UNS:0.048336
28,-1.0,UNS:0.048236,UNS:0.048287,UNS:0.053233,UNS:0.059709,UNS:0.064285,UNS:0.051609,UNS:0.046984,UNS:0.048212,UNS:0.071244
29,UNS:0.08343,-1.0,UNS:0.057365,TIMEOUT,TIMEOUT,TIMEOUT,UNS:0.138845,SAT:21.731423,UNS:0.260446,TIMEOUT
30,UNS:0.085941,UNS:0.047692,UNS:0.05002,-1.0,UNS:0.266434,UNS:0.661745,UNS:0.047264,UNS:0.051616,UNS:0.047553,SAT:0.517247
31,UNS:0.04929,-1.0,UNS:0.047985,SAT:19.353405,UNS:0.076797,TIMEOUT,UNS:0.047344,TIMEOUT,UNS:0.048549,TIMEOUT
32,UNS:0.049067,UNS:0.046974,UNS:0.047857,-1.0,UNS:0.046379,UNS:0.046158,UNS:0.165283,UNS:0.04863,UNS:0.049357,UNS:0.046489
33,SAT:0.648465,UNS:0.046661,SAT:28.077459,UNS:3.255223,-1.0,SAT:0.997365,SAT:0.266953,TIMEOUT,SAT:22.744671,SAT:5.680846
34,UNS:0.053482,UNS:0.046685,UNS:0.045431,UNS:0.049609,UNS:0.046031,UNS:0.048754,UNS:0.046073,-1.0,UNS:0.0455,UNS:0.045773
35,UNS:0.049479,UNS:0.049135,-1.0,SAT:0.666444,UNS:0.047462,UNS:0.735656,UNS:0.045714,UNS:0.049749,UNS:0.07705,UNS:0.048947
36,UNS:0.048122,UNS:0.046837,UNS:0.546811,UNS:0.62689,UNS:0.045186,UNS:0.112792,UNS:0.046741,-1.0,UNS:0.132504,UNS:0.048611
37,UNS:0.059998,-1.0,UNS:0.051397,UNS:0.143202,UNS:0.046244,TIMEOUT,UNS:0.053608,UNS:0.335251,UNS:0.046725,UNS:0.046667
38,UNS:0.051098,SAT:5.734182,-1.0,SAT:2.141902,UNS:0.046908,SAT:5.958311,UNS:0.710058,UNS:0.066825,UNS:0.192881,UNS:0.047886
39,UNS:0.047254,-1.0,UNS:0.046613,UNS:0.050261,UNS:0.046327,UNS:0.046221,UNS:0.047066,UNS:0.048954,UNS:0.048003,UNS:0.04594
40,UNS:0.050595,-1.0,TIMEOUT,SAT:2.713166,TIMEOUT,SAT:4.512722,UNS:0.136724,SAT:2.923573,UNS:0.148769,TIMEOUT
41,UNS:0.04824,UNS:0.046218,UNS:0.04801,UNS:0.049092,UNS:0.047127,UNS:0.048329,UNS:0.050117,-1.0,UNS:0.052865,UNS:0.08269
42,UNS:0.045895,UNS:0.048974,UNS:0.046935,UNS:0.047537,-1.0,UNS:0.047627,UNS:0.052834,UNS:0.047762,UNS:0.047919,UNS:0.04777
43,UNS:0.046415,SAT:0.596212,-1.0,TIMEOUT,TIMEOUT,SAT:5.241479,SAT:1.018735,SAT:3.694037,TIMEOUT,TIMEOUT
44,UNS:0.050158,UNS:0.102102,UNS:0.052799,-1.0,UNS:0.048303,UNS:0.046502,UNS:0.054899,UNS:0.045747,UNS:0.045941,UNS:0.047225
45,UNS:0.050838,UNS:0.047046,UNS:0.0466,UNS:0.045723,UNS:0.046592,-1.0,UNS:0.047666,UNS:0.047452,UNS:0.063335,UNS:0.04679
46,UNS:0.046109,-1.0,UNS:55.072775,SAT:1.227107,TIMEOUT,TIMEOUT,UNS:0.056905,SAT:1.374969,UNS:42.120705,SAT:3.08044
47,UNS:0.051313,UNS:0.047374,-1.0,TIMEOUT,UNS:0.053143,SAT:5.607969,TIMEOUT,UNS:0.094756,UNS:0.054022,UNS:0.052491
48,UNS:0.053334,UNS:0.07819,UNS:0.05175,UNS:0.058264,-1.0,UNS:0.054813,UNS:0.052652,UNS:0.051377,UNS:0.112548,UNS:0.048817
49,UNS:0.048714,UNS:0.052047,UNS:0.047791,UNS:0.048653,-1.0,UNS:0.049337,UNS:0.089728,UNS:0.05031,UNS:0.048181,UNS:0.048873
50,UNS:0.051349,UNS:0.049373,UNS:0.050508,UNS:0.049371,UNS:0.050493,UNS:0.049132,-1.0,UNS:0.050951,UNS:0.170062,UNS:0.053034
51,UNS:0.055022,UNS:0.049986,UNS:0.051,-1.0,UNS:0.05159,UNS:0.055493,UNS:0.052739,UNS:0.055435,UNS:0.048985,UNS:0.050377
52,TIMEOUT,UNS:0.049252,UNS:0.048789,UNS:0.048417,UNS:0.049049,-1.0,UNS:0.047771,UNS:0.048644,UNS:0.046672,UNS:0.047576
53,UNS:0.048576,UNS:0.048914,UNS:0.048111,UNS:0.049535,UNS:0.048816,-1.0,UNS:0.049613,UNS:0.04979,UNS:0.047721,UNS:0.053337
54,UNS:0.053403,UNS:0.051917,UNS:0.053361,UNS:0.048529,UNS:0.084293,UNS:0.048957,-1.0,UNS:0.047919,UNS:0.049757,UNS:0.049116
55,-1.0,UNS:0.048086,UNS:0.051041,UNS:0.048424,UNS:0.049736,UNS:0.049575,UNS:0.048204,UNS:0.048532,UNS:0.049083,UNS:0.048934
56,UNS:0.058501,UNS:0.05631,UNS:0.05517,UNS:0.048863,-1.0,UNS:0.049246,UNS:0.050066,UNS:0.049147,UNS:0.052977,UNS:0.047896
57,UNS:0.048625,-1.0,TIMEOUT,TIMEOUT,UNS:0.048323,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,UNS:1.594523
58,UNS:0.050334,UNS:0.048092,UNS:0.053176,UNS:0.050385,UNS:0.051064,UNS:0.050896,UNS:0.050147,UNS:0.047463,UNS:0.059607,-1.0
59,TIMEOUT,TIMEOUT,SAT:1.606687,TIMEOUT,TIMEOUT,-1.0,TIMEOUT,SAT:0.949336,UNS:0.182672,UNS:19.395783
60,UNS:0.047763,UNS:0.047132,UNS:0.048443,UNS:0.050113,UNS:0.046646,UNS:0.047445,UNS:0.047727,-1.0,UNS:0.047609,UNS:0.047629
61,UNS:0.046655,UNS:0.048243,SAT:0.247497,UNS:0.047389,UNS:0.048245,UNS:0.048175,UNS:0.04805,UNS:0.048003,-1.0,UNS:0.04794
62,UNS:0.047824,UNS:0.047135,UNS:0.267757,SAT:0.645841,SAT:0.636207,SAT:0.359779,UNS:0.42806,SAT:0.5256,UNS:0.05614,-1.0
63,UNS:0.046928,UNS:0.047135,UNS:0.047649,-1.0,UNS:0.054555,UNS:0.04692,UNS:0.047817,UNS:0.047684,UNS:0.047254,UNS:0.047612
64,UNS:0.047558,UNS:0.047644,UNS:0.047804,UNS:0.047764,UNS:0.050623,UNS:0.047298,UNS:0.047283,-1.0,UNS:0.04772,UNS:0.047772
65,UNS:0.048807,UNS:0.048444,UNS:0.052508,SAT:11.955535,-1.0,SAT:1.12958,UNS:0.0474,UNS:0.048147,SAT:9.914711,SAT:0.810726
